street_address,phone_number,zip_code,entity_type,fips_county_code,bed_count,city,state_or_region,name_common,ccn,facility_type,medicare_medicaid_eligible,lat,lon
11116 medical campus road,2403139500,21742,PROPRIETARY,43.0,271.0,hagerstown,MD,meritus medical center,210001,Short Term,true,,
22 south  greene street,4103288667,21201,PROPRIETARY,510.0,816.0,baltimore,MD,university of maryland medical center,210002,Short Term,true,,
901 north harry s truman drive,3016182000,20774,PROPRIETARY,33.0,224.0,upper marlboro,MD,university of md capital region medical center,210003,Short Term,true,,
1500 forest glen road,3017547000,20910,PRIVATE NON PROFIT,31.0,444.0,silver spring,MD,holy cross hospital,210004,Short Term,true,,
400 west seventh st,2405663300,21701,PROPRIETARY,21.0,248.0,frederick,MD,frederick health hospital,210005,Short Term,true,,
501 south  union avenue,4436433303,21078,PROPRIETARY,25.0,101.0,havre de grace,MD,university of md harford memorial hospital,210006,Short Term,true,,
301 saint paul place,4103329237,21202,PRIVATE NON PROFIT,510.0,285.0,baltimore,MD,mercy medical center inc,210008,Short Term,true,,
600 north  wolfe street,4109555000,21287,PROPRIETARY,510.0,1025.0,baltimore,MD,"johns hopkins hospital, the",210009,Short Term,true,,
900 caton avenue,4103682101,21229,PRIVATE NON PROFIT,510.0,407.0,baltimore,MD,saint agnes hospital,210011,Short Term,true,,
2401 west belvedere avenue,4106015131,21215,PROPRIETARY,510.0,413.0,baltimore,MD,sinai hospital of baltimore,210012,Short Term,true,,
9000 franklin square drive,4437777850,21237,PROPRIETARY,5.0,405.0,rosedale,MD,medstar franklin square medical center,210015,Short Term,true,,
11890 healing way,2406374000,20904,PROPRIETARY,31.0,298.0,silver spring,MD,adventist healthcare white oak medical center,210016,Short Term,true,,
251 north  fourth street,3015334173,21550,PROPRIETARY,23.0,33.0,oakland,MD,garrett regional medical center,210017,Short Term,true,,
18101 prince philip drive,3017748771,20832,PROPRIETARY,31.0,165.0,olney,MD,medstar montgomery medical center,210018,Short Term,true,,
100 east carroll avenue,4105466400,21801,PROPRIETARY,45.0,362.0,salisbury,MD,"tidalhealth peninsula regional, inc",210019,Short Term,true,,
aberdeen proving ground,,21005,,25.0,75.0,aberdeen,MD,us army hosp,21001F,,false,,
8600 old georgetown road,3018962576,20814,PROPRIETARY,31.0,229.0,bethesda,MD,suburban hospital,210022,Short Term,true,,
2001 medical parkway,4434811000,21401,PROPRIETARY,3.0,370.0,annapolis,MD,"luminis health anne arundel medical center, inc",210023,Short Term,true,,
201 east university parkway,4105542227,21218,RELIGIOUS AFFILIATION,510.0,370.0,baltimore,MD,medstar union memorial hospital,210024,Short Term,true,,
12500 willowbrook road,2409647000,21502,PROPRIETARY,1.0,240.0,cumberland,MD,u p m c western maryland,210027,Short Term,true,,
25500 point lookout road,3014756001,20650,PROPRIETARY,37.0,107.0,leonardtown,MD,medstar saint mary's hospital,210028,Short Term,true,,
4940 eastern avenue,4105500123,21224,PROPRIETARY,510.0,430.0,baltimore,MD,johns hopkins bayview medical center,210029,Short Term,true,,
100 brown street,4107787668,21620,PROPRIETARY,29.0,64.0,chestertown,MD,umd shore medical ctr at chestertown,210030,Short Term,true,,
106 bow street,4103927009,21921,PROPRIETARY,15.0,166.0,elkton,MD,union hospital of cecil county,210032,Short Term,true,,
200 memorial avenue,4108483000,21157,PROPRIETARY,13.0,158.0,westminster,MD,carroll hospital center,210033,Short Term,true,,
3001 south  hanover street,4103503201,21225,PROPRIETARY,510.0,376.0,baltimore,MD,medstar harbor hospital,210034,Short Term,true,,
5 garrett avenue,3016094265,20646,PROPRIETARY,17.0,131.0,la plata,MD,university of md charles regional  medical center,210035,Short Term,true,,
219 south  washington street,4108221000,21601,PROPRIETARY,41.0,189.0,easton,MD,university of md shore medical center at easton,210037,Short Term,true,,
827 linden avenue,4102258996,21201,RELIGIOUS AFFILIATION,510.0,276.0,baltimore,MD,university of md medical center midtown campus,210038,Short Term,true,,
100 hospital road,4105358240,20678,RELIGIOUS AFFILIATION,9.0,106.0,prince frederick,MD,calverthealth medical center,210039,Short Term,true,,
5401 old court road,4105212200,21133,PROPRIETARY,5.0,215.0,randallstown,MD,northwest hospital center,210040,Short Term,true,,
301 hospital drive,4105951967,21061,RELIGIOUS AFFILIATION,3.0,329.0,glen burnie,MD,umd baltimore washington  medical center,210043,Short Term,true,,
6701 north  charles street,4438492000,21204,PROPRIETARY,5.0,303.0,baltimore,MD,greater baltimore medical center,210044,Short Term,true,,
5755 cedar lane,4107407890,21044,PROPRIETARY,27.0,233.0,columbia,MD,howard county general hospital,210048,Short Term,true,,
500 upper chesapeake drive,4436433303,21014,RELIGIOUS AFFILIATION,25.0,219.0,bel air,MD,university of md upper chesapeake medical center,210049,Short Term,true,,
8118 good luck road,3015528118,20706,VOL. NON PROFIT - RELIGIOUS AFF,33.0,182.0,lanham,MD,"luminis health doctors community medical ctr, inc",210051,Short Term,true,,
5601 loch raven boulevard,4434443902,21239,RELIGIOUS AFFILIATION,510.0,208.0,baltimore,MD,medstar good samaritan hospital,210056,Short Term,true,,
9901 medical center drive,2408266527,20850,PROPRIETARY,31.0,331.0,rockville,MD,adventist healthcare shady grove medical center,210057,Short Term,true,,
2200 kernan drive,4104486701,21207,PROPRIETARY,510.0,134.0,baltimore,MD,umd rehabilitation &  orthopaedic institute,210058,Short Term,true,,
3900 loch raven blvd,4106057000,21218,,510.0,120.0,baltimore,MD,baltimore va rehab & extended care center (brecc),21005F,,false,,
11711 livingston road,3012927000,20744,RELIGIOUS AFFILIATION,33.0,37.0,fort washington,MD,adventist healthcare fort washington medical ctr,210060,Short Term,true,,
9733 healthway drive,4106411100,21811,PROPRIETARY,47.0,48.0,berlin,MD,atlantic general hospital,210061,Short Term,true,,
7503 surratts road,3018688000,20735,PROPRIETARY,33.0,239.0,clinton,MD,medstar southern maryland hospital center,210062,Short Term,true,,
7601 osler drive,4103371000,21204,PROPRIETARY,5.0,238.0,towson,MD,university of md st joseph medical center,210063,Short Term,true,,
2434 west belvedere avenue,4106012400,21209,PROPRIETARY,510.0,100.0,baltimore,MD,levindale hebrew geriatric center and hospital,210064,Short Term,true,,
19801 observation drive,3015576020,20876,PROPRIETARY,31.0,93.0,germantown,MD,holy cross germantown hospital,210065,Short Term,true,,
1 west pratt street,4106496100,21201,NOT FOR PROFIT,510.0,250.0,baltimore,MD,baltimore convention center alternate care site,210068,Short Term,true,,
9000 wisconsin ave,,20014,,,516.0,bethesda,MD,clinical center-natl inst of health,21006F,,false,,
4494 palmer rd n,8005267101,20889,,,725.0,bethesda,MD,walter reed national military medical center,21007F,,false,,
9600 north point road,4104777177,21052,,5.0,1.0,fort howard,MD,fort howard va outpatient clinic,21009F,,false,,
circle drive,4106422411,21902,,15.0,505.0,perry point,MD,perry point va medical center,21010F,,false,,
riverside dr,,21801,,45.0,65.0,salisbury,MD,pine bluff state hosp,21014E,,false,,
954 forrest st,5551111111,21202,,510.0,37.0,baltimore,MD,maryland penitentiary hosp,21015E,,false,,
10 north greene street,4106057000,21201,,510.0,137.0,baltimore,MD,baltimore va medical center,21020F,,false,,
1500 pennsylvania avenue,3017454140,21742,NOT FOR PROFIT,43.0,123.0,hagerstown,MD,western maryland center,212002,Long Term,true,,
315 deer's head hospital road,4105434010,21801,NOT FOR PROFIT,45.0,66.0,salisbury,MD,deer's head center,212003,Long Term,true,,
220 tilghman road,4105464600,21804,VOL. NON PROFIT - RELIGIOUS AFF,45.0,64.0,salisbury,MD,encompass health rehab hospital of salisbury,213028,Rehabilitation,true,,
9909 medical center drive,2408646005,20850,PROPRIETARY,31.0,87.0,rockville,MD,adventist healthcare  rehabilitation at rockville,213029,Rehabilitation,true,,
1708 west rogers avenue,4105785050,21209,PROPRIETARY,510.0,117.0,baltimore,MD,mount washington pediatric hospital,213300,Childrens Hospitals,true,,
707 north  broadway,4439239301,21205,PROPRIETARY,510.0,63.0,baltimore,MD,kennedy krieger institute,213301,Childrens Hospitals,true,,
6501 north  charles street,4109383401,21204,PROPRIETARY,5.0,322.0,baltimore,MD,"sheppard and enoch pratt hospital, the",214000,Psychiatric,true,,
5262 woods road,4102212525,21613,NOT FOR PROFIT,19.0,80.0,cambridge,MD,eastern shore hospital center,214002,Psychiatric,true,,
13215  brook lane drive,3017330330,21742,PROPRIETARY,43.0,46.0,hagerstown,MD,brook lane health services,214003,Psychiatric,true,,
6655 sykesville road,4109707000,21784,NOT FOR PROFIT,13.0,522.0,sykesville,MD,springfield hospital center,214004,Psychiatric,true,,
"10102 country club road,  post office box 1722",3017772240,21502,CORPORATION,1.0,119.0,cumberland,MD,thomas b finan center,214012,Psychiatric,true,,
55 wade avenue,4104027455,21228,NOT FOR PROFIT,5.0,440.0,catonsville,MD,spring grove hospital center,214018,Psychiatric,true,,
175 harry s  truman  parkway,4434811000,21401,PROPRIETARY,3.0,16.0,annapolis,MD,luminis health j kent mcnew family medical center,214020,Psychiatric,true,,
600 north wolfe street,4106145477,21287,,510.0,0.0,baltimore,MD,"johns hopkins hospital, the",219800,Transplant Hospitals,true,,
22 south greene street,4103281715,21201,,510.0,0.0,baltimore,MD,univerity of maryland medical center,219801,Transplant Hospitals,true,,
60 hospital road,9784662000,1453,RELIGIOUS AFFILIATION,27.0,150.0,leominster,MA,health alliance - clinton hospital,220001,Short Term,true,,
330 mount auburn street,6174923500,2138,PROPRIETARY,17.0,217.0,cambridge,MA,mount auburn hospital,220002,Short Term,true,,
211 park street,5082225200,2703,RELIGIOUS AFFILIATION,5.0,126.0,attleboro,MA,sturdy memorial hospital,220008,Short Term,true,,
one general street,9786834000,1842,PROPRIETARY,9.0,189.0,lawrence,MA,lawrence general hospital,220010,Short Term,true,,
1493 cambridge street,6176652300,2138,CORPORATION,17.0,159.0,cambridge,MA,cambridge health alliance,220011,Short Term,true,,
88 lewis bay road,5087711800,2601,PROPRIETARY,1.0,259.0,hyannis,MA,cape cod hospital,220012,Short Term,true,,
30 locust street,4135822000,1060,PROPRIETARY,15.0,142.0,northampton,MA,"cooley dickinson hospital inc,the",220015,Short Term,true,,
164 high street,4137730211,1301,PROPRIETARY,11.0,92.0,greenfield,MA,baystate franklin medical center,220016,Short Term,true,,
2100 dorchester avenue,6175062000,2124,VOL. NON PROFIT - RELIGIOUS AFF,25.0,135.0,boston,MA,carney hospital,220017,Short Term,true,,
100 south street,5087659771,1550,PROPRIETARY,27.0,113.0,southbridge,MA,umass memorial healh - harrington hospital,220019,Short Term,true,,
200 springs road,6175551212,1730,,17.0,993.0,bedford,MA,va hosp,22001F,,false,,
795 middle street,5086745600,2721,VOL. NON PROFIT - RELIGIOUS AFF,5.0,160.0,fall river,MA,saint anne's hospital,220020,Short Term,true,,
575 beech street,4135342500,1040,PROPRIETARY,13.0,164.0,holyoke,MA,holyoke medical center,220024,Short Term,true,,
25 highland avenue,9784631000,1950,PROPRIETARY,9.0,123.0,newburyport,MA,anna jaques hospital,220029,Short Term,true,,
77 warren st,6175551212,2135,,25.0,211.0,boston,MA,u s pub hlth serv hosp,22002F,,false,,
40 wright street,4132837651,1069,RELIGIOUS AFFILIATION,13.0,41.0,palmer,MA,baystate wing hospital and medical centers,220030,Short Term,true,,
1 boston medical center place,6176388000,2118,PROPRIETARY,25.0,441.0,boston,MA,boston medical center corporation-,220031,Short Term,true,,
85 herrick street,9789223000,1915,PROPRIETARY,9.0,283.0,beverly,MA,beverly hospital corporation,220033,Short Term,true,,
81 highland avenue,9787411215,1970,PROPRIETARY,9.0,415.0,salem,MA,north shore medical center -,220035,Short Term,true,,
736 cambridge street,6177893000,2135,VOL. NON PROFIT - RELIGIOUS AFF,25.0,252.0,brighton,MA,st elizabeth's medical center,220036,Short Term,true,,
1400 vfw parkway,6175551212,2132,,25.0,920.0,boston,MA,va hosp,22003F,,false,,
725 north street,4134472000,1201,RELIGIOUS AFFILIATION,3.0,319.0,pittsfield,MA,berkshire medical center inc - 1,220046,Short Term,true,,
157 union street,5084815000,1752,PROPRIETARY,17.0,79.0,marlborough,MA,marlborough hospital,220049,Short Term,true,,
belmont street,6175551212,2301,,23.0,988.0,brockton,MA,va hosp,22004F,,false,,
680 center street,5089417000,2302,RELIGIOUS AFFILIATION,23.0,205.0,brockton,MA,signature healthcare brockton hospital,220052,Short Term,true,,
chelsea,6175551212,2150,,25.0,500.0,chelsea,MA,us naval hosp,22005F,,false,,
275 sandwich street,5087462000,2360,PROPRIETARY,23.0,155.0,plymouth,MA,beth israel deaconess hospital - plymouth,220060,Short Term,true,,
107 lincoln street,5087999000,1605,VOL. NON PROFIT - RELIGIOUS AFF,27.0,114.0,worcester,MA,adcare hospital of worcester inc,220062,Short Term,true,,
295 varnum avenue,9789376000,1854,PROPRIETARY,17.0,158.0,lowell,MA,lowell general hospital,220063,Short Term,true,,
115 west silver street,4135682811,1085,PROPRIETARY,13.0,97.0,westfield,MA,baystate noble hospital,220065,Short Term,true,,
271 carew street,4137489000,1104,PROPRIETARY,13.0,339.0,springfield,MA,mercy medical ctr,220066,Short Term,true,,
westover afb,6175551212,1022,,13.0,90.0,chicopee,MA,us air force hosp,22006F,,false,,
585 lebanon street,7819793000,2176,PROPRIETARY,17.0,538.0,melrose,MA,melrosewakefield healthcare,220070,Short Term,true,,
55 fruit street,6177249725,2114,PROPRIETARY,25.0,907.0,boston,MA,massachusetts general hospital,220071,Short Term,true,,
88 washington street,5088287000,2780,VOL. NON PROFIT - RELIGIOUS AFF,5.0,133.0,taunton,MA,morton hospital,220073,Short Term,true,,
363 highland avenue,5086793131,2720,PROPRIETARY,5.0,695.0,fall river,MA,"southcoast hospital group, inc",220074,Short Term,true,,
243 charles street,6175237900,2114,PROPRIETARY,25.0,42.0,boston,MA,massachusetts eye and ear infirmary -,220075,Short Term,true,,
759 chestnut street,4137940000,1199,PROPRIETARY,13.0,716.0,springfield,MA,baystate medical center,220077,Short Term,true,,
otis afb,6175551212,2540,,1.0,50.0,falmouth,MA,us air force hosp,22007F,,false,,
70 east street,9786870156,1844,VOL. NON PROFIT - RELIGIOUS AFF,9.0,275.0,methuen,MA,holy family hospital,220080,Short Term,true,,
148 chestnut street,7814533002,2494,PROPRIETARY,21.0,58.0,needham,MA,beth israel deaconess hospital - needham,220083,Short Term,true,,
133 old road to 9 acre corner,9783691400,1742,PROPRIETARY,17.0,149.0,w concord,MA,emerson hospital -,220084,Short Term,true,,
330 brookline avenue,6176677000,2215,PROPRIETARY,25.0,597.0,boston,MA,beth israel deaconess medical center,220086,Short Term,true,,
125 parker hill avenue,6177545800,2120,PROPRIETARY,25.0,118.0,boston,MA,new england baptist hospital,220088,Short Term,true,,
fort devans,6175551212,1432,,17.0,150.0,ayer,MA,us army hosp,22008F,,false,,
14 prospect street,5084731190,1757,RELIGIOUS AFFILIATION,27.0,121.0,milford,MA,milford regional medical center,220090,Short Term,true,,
242 green street,9786323420,1440,PROPRIETARY,27.0,134.0,gardner,MA,heywood hospital -,220095,Short Term,true,,
200 groton road,9787849000,1432,VOL. NON PROFIT - RELIGIOUS AFF,17.0,57.0,ayer,MA,nashoba valley medical center,220098,Short Term,true,,
berkshire trail route 9,6175551212,1060,,15.0,1014.0,northampton,MA,va hosp,22009F,,false,,
55 fogg road,7813408000,2190,PROPRIETARY,21.0,284.0,south weymouth,MA,south shore hospital,220100,Short Term,true,,
2014 washington street,6172436000,2462,PROPRIETARY,17.0,224.0,newton,MA,newton-wellesley hospital,220101,Short Term,true,,
41 highland avenue,7817299000,1890,PROPRIETARY,17.0,189.0,winchester,MA,winchester hospital,220105,Short Term,true,,
199 reedsdale road,6176964600,2186,FOR PROFIT,21.0,81.0,milton,MA,beth israel deaconess hospital-milton inc,220108,Short Term,true,,
150 south huntington avenue,6175551212,2130,,25.0,920.0,boston,MA,va hosp,22010F,,false,,
75 francis street,6177325500,2115,PROPRIETARY,25.0,663.0,boston,MA,brigham and women's hospital,220110,Short Term,true,,
235 north pearl street,5084273000,2301,VOL. NON PROFIT - RELIGIOUS AFF,23.0,231.0,brockton,MA,good samaritan medical center,220111,Short Term,true,,
800 washington street,6176365000,2111,PROPRIETARY,25.0,415.0,boston,MA,tufts medical center,220116,Short Term,true,,
1153 centre street,6179837000,2130,PROPRIETARY,25.0,153.0,boston,MA,brigham and women's faulkner hospital,220119,Short Term,true,,
800 washington street,7817694000,2062,VOL. NON PROFIT - RELIGIOUS AFF,21.0,263.0,norwood,MA,norwood hospital,220126,Short Term,true,,
67 & 100 ter heun drive,5085485300,2540,PROPRIETARY,1.0,95.0,falmouth,MA,falmouth hospital,220135,Short Term,true,,
450 brookline avenue,6176323000,2115,PROPRIETARY,25.0,27.0,boston,MA,dana-farber cancer institute,220162,Short Term,true,,
55 lake avenue north,5083341000,1655,PROPRIETARY,27.0,325.0,worcester,MA,umass memorial medical center inc,220163,Short Term,true,,
41 & 45 mall road,7817445100,1803,PROPRIETARY,17.0,327.0,burlington,MA,"lahey hospital & medical center, burlington",220171,Short Term,true,,
115 lincoln street,5083831000,1701,PROPRIETARY,17.0,360.0,framingham,MA,metrowest medical center,220175,Short Term,true,,
123 summer street,5083635000,1608,VOL. NON PROFIT - RELIGIOUS AFF,27.0,283.0,worcester,MA,st vincent hospital,220176,Short Term,true,,
57 prospect street,5082281200,2554,PROPRIETARY,19.0,19.0,nantucket,MA,nantucket cottage hospital,220177,Short Term,true,,
"one hospital road, first fl, wing 5,  po box 1477",5086930410,2557,PROPRIETARY,7.0,19.0,oak bluffs,MA,martha's vineyard hospital inc,221300,Critical Access Hospitals,true,,
29 lewis avenue,4135280790,1230,PROPRIETARY,3.0,25.0,great barrington,MA,fairview hospital,221302,Critical Access Hospitals,true,,
2033 main street,9782493511,1331,PROPRIETARY,27.0,25.0,athol,MA,athol memorial hospital,221303,Critical Access Hospitals,true,,
910 boylston street,6177345600,2167,PRIVATE NON PROFIT,17.0,28.0,chestnut hill,MA,chestnut hill benevolent association,221990,Religious Non-Medical Health Care Institutions,true,,
1575 cambridge street,6178764344,2138,PRIVATE NON PROFIT,17.0,180.0,cambridge,MA,spaulding hospital for continuing med care-camb,222000,Long Term,true,,
909 sumner street 1st floor,7812978200,2072,VOL. NON PROFIT - RELIGIOUS AFF,21.0,198.0,stoughton,MA,pam health specialty hospital of stoughton,222002,Long Term,true,,
365 east street,9788517321,1876,NOT FOR PROFIT,17.0,760.0,tewksbury,MA,tewksbury hospital,222003,Long Term,true,,
170 morton street,6175228110,2130,NOT FOR PROFIT,25.0,260.0,jamaica plain,MA,lemuel shattuck hospital,222006,Long Term,true,,
1200 centre street,6173258000,2131,PROPRIETARY,25.0,675.0,boston,MA,hebrew rehabilitation center,222007,Long Term,true,,
91 east mountain road,4135624131,1085,NOT FOR PROFIT,13.0,102.0,westfield,MA,western massachusetts hospital,222023,Long Term,true,,
150 york street,7813644850,2072,PROPRIETARY,21.0,212.0,stoughton,MA,new england sinai hospital,222027,Long Term,true,,
4499 acushnet avenue,5089956900,2745,VOL. NON PROFIT - RELIGIOUS AFF,5.0,90.0,new bedford,MA,vibra hospital of southeastern massachusetts,222043,Long Term,true,,
"111 huntoon memorial highway, 1st floor",4137876700,1542,VOL. NON PROFIT - RELIGIOUS AFF,27.0,174.0,rochdale,MA,vibra hospital of western mass - central campus,222046,Long Term,true,,
145 ward hill avenue,9783728000,1835,VOL. NON PROFIT - RELIGIOUS AFF,9.0,60.0,bradford,MA,whittier rehabilitation hospital - bradford,222047,Long Term,true,,
150 flanders road,5088712063,1581,VOL. NON PROFIT - RELIGIOUS AFF,27.0,88.0,westborough,MA,whittier rehabilitation hospital,222048,Long Term,true,,
2 rehabilitation way,7819355050,1801,VOL. NON PROFIT - RELIGIOUS AFF,17.0,210.0,woburn,MA,encompass health rehabilitation hosp of new englan,223026,Rehabilitation,true,,
250 pond street,7818485353,2184,VOL. NON PROFIT - RELIGIOUS AFF,21.0,187.0,braintree,MA,encompass health braintree hospital of braintree,223027,Rehabilitation,true,,
189 may street,5087916351,1602,VOL. NON PROFIT - RELIGIOUS AFF,27.0,110.0,worcester,MA,"fairlawn rehab hosp, an affiliate of encompass hlt",223029,Rehabilitation,true,,
222 state street,4135897581,1056,VOL. NON PROFIT - RELIGIOUS AFF,13.0,53.0,ludlow,MA,encompass health rehab hospital of western mass,223030,Rehabilitation,true,,
311 service road,5088334262,2537,PROPRIETARY,1.0,60.0,east sandwich,MA,spaulding rehabilitation hospital - cape cod,223032,Rehabilitation,true,,
300 first avenue,6177206400,2129,PROPRIETARY,25.0,132.0,charlestown,MA,spaulding rehabilitation hospital,223034,Rehabilitation,true,,
30 warren street,6172543800,2135,PROPRIETARY,25.0,112.0,brighton,MA,franciscan children's hospital & rehab center,223300,Childrens Hospitals,true,,
300 longwood avenue,6177356000,2115,PROPRIETARY,25.0,395.0,boston,MA,boston children's hospital,223302,Childrens Hospitals,true,,
516 carew street,4137872000,1104,PROPRIETARY,13.0,40.0,springfield,MA,shriners' hospital for children (the),223303,Childrens Hospitals,true,,
51 blossom street,6177223000,2114,VOL. NON PROFIT - RELIGIOUS AFF,25.0,30.0,boston,MA,"shriners' hospital for children - boston, the",223304,Childrens Hospitals,true,,
"60 hodges avenue, box 151",5089773000,2780,NOT FOR PROFIT,5.0,45.0,taunton,MA,taunton state hospital,224001,Psychiatric,true,,
115 mill street,6178553450,2478,PROPRIETARY,17.0,324.0,belmont,MA,mclean hospital corporation,224007,Psychiatric,true,,
49 robinwood avenue,6175224400,2130,VOL. NON PROFIT - RELIGIOUS AFF,25.0,118.0,boston,MA,"arbour hospital, the",224013,Psychiatric,true,,
227 babcock street,6177313200,2446,VOL. NON PROFIT - RELIGIOUS AFF,21.0,68.0,brookline,MA,arbour human resource institute,224018,Psychiatric,true,,
200 may street,5087618500,2703,VOL. NON PROFIT - RELIGIOUS AFF,5.0,86.0,south attleboro,MA,arbour-fuller hospital,224021,Psychiatric,true,,
300 south street,6174690300,2467,VOL. NON PROFIT - RELIGIOUS AFF,17.0,90.0,boston college,MA,bournewood hospital,224022,Psychiatric,true,,
45 clapboardtree street,6177627764,2090,VOL. NON PROFIT - RELIGIOUS AFF,21.0,248.0,westwood,MA,westwood pembroke health systems,224023,Psychiatric,true,,
49 hillside street,5082357600,2720,NOT FOR PROFIT,5.0,16.0,fall river,MA,dr john c corrigan mental health center,224028,Psychiatric,true,,
830 county road,5085632276,2559,NOT FOR PROFIT,1.0,16.0,pocasset,MA,cape cod & islands community mental health center,224031,Psychiatric,true,,
309 belmont street,5087524681,1604,NOT FOR PROFIT,27.0,166.0,worcester,MA,worcester recovery center and hospital,224032,Psychiatric,true,,
10 carematrix dr,7816476727,2026,FOR PROFIT,21.0,45.0,dedham,MA,"walden behavioral care, llc",224038,Psychiatric,true,,
76 summer street,9783738222,1830,VOL. NON PROFIT - RELIGIOUS AFF,9.0,71.0,haverhill,MA,whittier pavilion,224039,Psychiatric,true,,
85 east newton street,6176268700,2118,NOT FOR PROFIT,25.0,60.0,boston,MA,dr solomon carter fuller mental health center,224040,Psychiatric,true,,
581 faunce corner road,6158616000,2747,VOL. NON PROFIT - RELIGIOUS AFF,5.0,120.0,dartmouth,MA,southcoast behavioral health,224041,Psychiatric,true,,
85 patton road,9786155200,1434,VOL. NON PROFIT - RELIGIOUS AFF,27.0,108.0,devens,MA,taravista behavioral health center,224043,Psychiatric,true,,
300 friberg parkway,5083296300,1581,VOL. NON PROFIT - RELIGIOUS AFF,27.0,152.0,westborough,MA,westborough behavioral healthcare hospital llc,224044,Psychiatric,true,,
100 century drive,8443190000,1606,VOL. NON PROFIT - RELIGIOUS AFF,27.0,82.0,worcester,MA,hospital for behavioral medicine,224045,Psychiatric,true,,
1233 main street,4137012600,1040,VOL. NON PROFIT - RELIGIOUS AFF,13.0,36.0,holyoke,MA,miravista behavioral health center,224046,Psychiatric,true,,
75 francis street,6177325500,2115,,25.0,0.0,boston,MA,brigham and women's hospital -  transplant center,229801,Transplant Hospitals,true,,
41 & 45 mall road,7817445100,1803,,17.0,0.0,burlington,MA,lahey clinic - transplant center,229802,Transplant Hospitals,true,,
330 brookline avenue,6176677000,2115,,25.0,0.0,boston,MA,beth israel deaconess med ctr -  transplant center,229803,Transplant Hospitals,true,,
1 boston medical place,6176388430,2118,,25.0,0.0,boston,MA,boston medical center - transplant center,229804,Transplant Hospitals,true,,
55 lake avenue north,5083347177,1655,,27.0,0.0,worcester,MA,university of mass memorial med ctr - transplant,229805,Transplant Hospitals,true,,
300 longwood ave,6173556128,2115,,25.0,0.0,boston,MA,boston children's hospital - transplant center,229806,Transplant Hospitals,true,,
750 washington street,6176364229,2111,,25.0,0.0,boston,MA,tufts medical center - transplant,229807,Transplant Hospitals,true,,
55 fruit street,6177265111,2114,,25.0,0.0,boston,MA,massachusetts general hospital - transplant center,229808,Transplant Hospitals,true,,
759 chestnut street,4137942602,1199,,13.0,0.0,springfield,MA,baystate medical center - transplant center,229809,Transplant Hospitals,true,,
36475 five mile road,7346554800,48154,,163.0,273.0,livonia,MI,trinity health livonia hospital,230002,Short Term,true,,
8333 felch st,6167724644,49464,,139.0,57.0,zeeland,MI,spectrum health zeeland community hospital,230003,Short Term,true,,
5640 n adrian highway,5172650900,49221,,91.0,88.0,adrian,MI,promedica charles and virginia hickman hospital,230005,Short Term,true,,
461 w huron st,2488577200,48341,,125.0,306.0,pontiac,MI,pontiac general hospital,230013,Short Term,true,,
701 s health parkway,2692739602,49093,,149.0,60.0,three rivers,MI,three rivers health,230015,Short Term,true,,
601 john street,2693416000,49007,,77.0,380.0,kalamazoo,MI,bronson methodist hospital,230017,Short Term,true,,
16001 w nine mile rd,2488493011,48075,,125.0,434.0,southfield,MI,ascension providence hospital,230019,Short Term,true,,
18101 oakwood blvd,3135937125,48124,,163.0,623.0,dearborn,MI,beaumont hospital - dearborn,230020,Short Term,true,,
1234 napier avenue,2699838300,49085,,21.0,313.0,st joseph,MI,"lakeland hospital, st joseph",230021,Short Term,true,,
274 e chicago st,5172795400,49036,,23.0,110.0,coldwater,MI,promedica coldwater regional hospital,230022,Short Term,true,,
6071 w outer drive,3139663300,48235,,163.0,991.0,detroit,MI,sinai-grace hospital,230024,Short Term,true,,
44405 woodward ave,2488583000,48341,,125.0,395.0,pontiac,MI,trinity health oakland hospital,230029,Short Term,true,,
300 e warwick dr,9894631101,48801,,57.0,142.0,alma,MI,mymichigan medical center alma,230030,Short Term,true,,
2601 electric avenue,8109851500,48060,,147.0,119.0,port huron,MI,lake huron medical center,230031,Short Term,true,,
615 s bower street,6167544691,48838,,117.0,48.0,greenville,MI,spectrum health united hospital,230035,Short Term,true,,
1501 w chisholm st,9893567390,49707,,7.0,150.0,alpena,MI,mymichigan medical center alpena,230036,Short Term,true,,
168 s howell street,5174374451,49242,,59.0,86.0,hillsdale,MI,hillsdale hospital,230037,Short Term,true,,
100 michigan st ne,6163911774,49503,,81.0,1135.0,grand rapids,MI,spectrum health - butterworth campus,230038,Short Term,true,,
1900 columbus ave,9898943000,48708,,17.0,387.0,bay city,MI,mclaren bay region,230041,Short Term,true,,
"1500 e medical center drive, spc 5474",7347641505,48109,,161.0,884.0,ann arbor,MI,university of michigan health,230046,Short Term,true,,
15855 nineteen mile rd,5862632300,48038,,99.0,361.0,clinton township,MI,henry ford health macomb hospital,230047,Short Term,true,,
2799 w grand blvd,3139162600,48202,,163.0,903.0,detroit,MI,henry ford health hospital,230053,Short Term,true,,
850 w baraga ave,9062289440,49855,,103.0,289.0,marquette,MI,up health system - marquette,230054,Short Term,true,,
1721 s stephenson ave,9067741313,49801,,43.0,96.0,iron mountain,MI,dickinson county memorial hospital,230055,Short Term,true,,
1100 e michigan ave,9893485461,49738,,39.0,90.0,grayling,MI,munson healthcare grayling hospital,230058,Short Term,true,,
